fitness,finished,diversity,individual
8,False,2,"(1, 2, 2, 2, 2, 1, 1, 2)"
12,False,0,"(2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1)"
12,False,2,"(2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1)"
14,False,1,"(2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2)"
22,True,0,"(2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2)"
16,False,2,"(1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 3, 2, 2, 1)"
10,False,1,"(2, 1, 2, 1, 1, 2, 1, 1, 1, 1)"
8,False,0,"(2, 2, 2, 1, 1, 1, 2, 2)"
12,False,4,"(1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2)"
12,False,1,"(2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1)"
8,False,3,"(2, 2, 2, 1, 2, 1, 1, 2)"
8,False,3,"(2, 2, 1, 2, 1, 2, 1, 2)"
13,False,0,"(2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 3, 1)"
12,False,3,"(2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1)"
12,False,0,"(2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1)"
12,False,4,"(2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2)"
12,False,2,"(2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2)"
12,False,4,"(2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1)"
14,False,1,"(2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1)"
12,False,2,"(2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1)"
15,False,4,"(2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1)"
9,False,3,"(1, 2, 2, 1, 1, 1, 2, 1, 1)"
12,False,2,"(1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2)"
13,False,2,"(2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2)"
12,False,3,"(2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2)"
14,False,3,"(2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 2)"
12,False,1,"(2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1)"
12,False,2,"(2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2)"
12,False,0,"(2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1)"
10,False,1,"(1, 2, 2, 2, 1, 1, 1, 1, 1, 1)"
